,glacier,region,N_scalar,ice_flux,boundary_flux,proximal_flux,sediment_flux,max_velocity,max_pressure,drainage_area,mean_fringe,med_fringe
34,eqip-sermia,CW,0.9,0.986256465941,13166648.1897,137428755.443,150595403.633,1228.55946054,3178493.6685,418.321175513,0.15252315896,0.112543203789
35,kista-dan-gletsjer,CE,0.9,0.31215493097,185705816.488,286924707.858,472630524.346,795.868980918,4132178.82361,1830.96017169,0.158086194253,0.105015798949
36,rolige-brae,CE,0.8,0.626706118687,30926954.8151,46573956.7223,77500911.5375,454.142785239,7901230.1887,4574.69013686,0.136996841811,0.0571749064415
37,sermeq-avannarleq,CW,0.8,2.21177996577,35424285.6475,406985507.806,442409793.453,1565.6979767,10963154.804,27042.5919779,1.3727192362,1.39898032111
38,charcot-gletscher,CE,0.8,0.136207022143,0.0,1.58191769989,1.58191769989,512.401785448,4607325.95654,586.5812689,0.0317065374359,0.0152419008179
39,sydbrae,CE,0.8,0.285266681312,0.0,15261395.2626,15261395.2626,694.367287176,3046983.14867,826.307302857,0.0259532507851,0.00134749361496
40,kangiata-nunaata-sermia,SW,0.8,4.55254613726,19538420.6077,72410568.5514,91948989.1591,6003.63445181,8301124.73449,21388.1248376,0.315932724056,0.266264274044
41,eielson-gletsjer,CE,0.8,0.0450033456953,0.0,2581998.10904,2581998.10904,174.031718632,9827420.86505,8423.62502002,0.142052532052,0.0894226271565
42,narsap-sermia,SW,0.8,3.136940135,3474592.04644,16068011.5953,19542603.6417,2752.47593772,7460642.01833,7490.67270659,0.139676353257,0.102652355158
43,kangilernata-sermia,CW,0.8,1.02435457097,46518074.1836,121588475.903,168106550.087,2505.59679412,10850884.2395,35708.2091983,1.70984027079,1.74604864951
44,dode-brae,CE,0.8,0.102080032083,28643.2255468,410679.594951,439322.820498,139.439525061,4381043.35093,1016.36984175,0.100631276711,0.0700655639827
45,daugaard-jensen-gletsjer,CE,0.8,9.60515777231,393207694.38,514996310.056,908204004.436,1438.48304808,10526114.5731,48811.736759,1.46092662344,1.46873354233
46,vestfjord-gletsjer,CE,0.8,2.39614215823,9337155.62204,30003433.7422,39340589.3643,1088.45613447,9276191.38998,10973.1700192,0.0976417946222,0.0347981490686
47,sermeq-kullajeq,CW,0.8,7.39960691026,13894111.38,51124682.0663,65018793.4463,4781.61904709,8339843.13043,6809.20178937,0.52871058905,0.507273621884
48,bredegletsjer,CE,0.8,0.814427067648,0.0,5846.56445646,5846.56445646,1371.40373128,2523887.04619,1093.79653359,0.0371707413715,0.00114278209709
49,magga-dan-gletsjer,CE,0.8,2.22887982099,35904753.3981,83819528.5936,119724281.992,3451.88422983,6023635.91622,3455.91472526,0.103959018129,0.0168452980966
50,graah-gletscher,CE,0.8,1.07207330861,0.0,2865161.09648,2865161.09648,1556.06685632,5008280.21122,976.59708075,0.0422654738638,0.00912254804407
51,akullersuup-sermia,SW,0.8,0.443064236251,29371863.534,95415505.2699,124787368.804,1146.47950324,5602527.15524,1602.92521217,0.241344789804,0.138150679167
52,eqip-sermia,CW,0.8,0.986256465941,15989958.4848,158162369.668,174152328.152,1228.55946054,4086634.71664,418.321175513,0.22137051529,0.167961615494
53,kista-dan-gletsjer,CE,0.8,0.31215493097,188065174.525,288043062.498,476108237.023,795.868980918,5312801.34464,1830.96017169,0.226168387464,0.130247897286
54,rolige-brae,CE,0.7,0.626706118687,31282884.9177,48579302.0718,79862186.9895,454.142785239,9657059.11952,4574.69013686,0.213750612249,0.0995646982129
55,sermeq-avannarleq,CW,0.7,2.21177996577,39854762.9971,347854394.204,387709157.201,1565.6979767,13399411.4272,27042.5919779,2.11326300024,2.15026075377
56,charcot-gletscher,CE,0.7,0.136207022143,0.0,331.411180298,331.411180298,512.401785448,5631176.1691,586.5812689,0.0467942325352,0.0258122973804
57,sydbrae,CE,0.7,0.285266681312,674963.942422,22135940.9361,22810904.8785,694.367287176,3724090.51504,826.307302857,0.0298894355971,0.0015230271047
58,kangiata-nunaata-sermia,SW,0.7,4.55254613726,19191584.9926,283468100.864,302659685.856,6003.63445181,10145819.1199,21388.1248376,0.539815750045,0.475305362679
59,eielson-gletsjer,CE,0.7,0.0450033456953,0.0,2648397.85046,2648397.85046,174.031718632,12011292.1684,8423.62502002,0.252987883108,0.159936343147
60,narsap-sermia,SW,0.7,3.136940135,3485323.02687,15867411.0287,19352734.0555,2752.47593772,9118562.46685,7490.67270659,0.237708305364,0.181526966165
61,kangilernata-sermia,CW,0.7,1.02435457097,45398234.8681,352962912.404,398361147.272,2505.59679412,13262191.8482,35708.2091983,2.68627369304,2.87082159885
62,dode-brae,CE,0.7,0.102080032083,91209.19225,595672.809354,686882.001604,139.439525061,5354608.54002,1016.36984175,0.172327977749,0.115539005191
63,daugaard-jensen-gletsjer,CE,0.7,9.60515777231,403875957.679,463581281.921,867457239.601,1438.48304808,12865251.1449,48811.736759,2.28937178695,2.49588760951
64,vestfjord-gletsjer,CE,0.7,2.39614215823,8943886.68488,54325717.8551,63269604.54,1088.45613447,11337567.2544,10973.1700192,0.163701471648,0.0610787573968
65,sermeq-kullajeq,CW,0.7,7.39960691026,14900071.8666,59627777.0794,74527848.946,4781.61904709,10193141.6039,6809.20178937,0.483064565963,0.46260136258
66,bredegletsjer,CE,0.7,0.814427067648,0.0,1776319.95982,1776319.95982,1371.40373128,3084750.83423,1093.79653359,0.0427767593689,0.00122328628335
67,magga-dan-gletsjer,CE,0.7,2.22887982099,35327002.0803,82113094.8422,117440096.922,3451.88422983,7362221.67538,3455.91472526,0.150181823805,0.022971810372
68,graah-gletscher,CE,0.7,1.07207330861,0.0,2655759.94881,2655759.94881,1556.06685632,6121231.36927,976.59708075,0.0575184650708,0.0145136980596
