Age [ka BP]	Acc rate [cm/a] (ice-equivalent accumulation r...)	Acc rate [cm/a] (ice-equivalent accumulation r...)	Acc rate [cm/a] (ice-equivalent accumulation r...)
0.4485	30.69	30.881	30.418
0.4495	30.69	30.885	30.422
0.4505	20.46	20.591	20.282
0.4515	30.7	30.892	30.429
0.4525	20.47	20.596	20.287
0.4535	20.47	20.599	20.289
0.4545	30.71	30.903	30.437
0.4555	10.2	10.3	10.1
0.4565	10.2	10.3	10.1
0.4575	40.96	41.219	40.596
0.4585	30.73	30.918	30.45
0.4595	30.73	30.923	30.454
0.4605	20.49	20.618	20.305
0.4615	30.74	30.932	30.46
0.4625	10.2	10.3	10.2
0.4635	30.75	30.941	30.468
0.4645	20.5	20.629	20.313
0.4655	30.75	30.95	30.474
0.4665	10.3	10.3	10.2
0.4675	30.76	30.957	30.48
0.4685	20.51	20.639	20.321
0.4695	20.51	20.642	20.324
0.4705	41.03	41.293	40.654
0.4715	10.3	10.3	10.2
0.4725	20.52	20.652	20.332
0.4735	20.52	20.652	20.332
0.4745	20.52	20.655	20.334
0.4755	20.52	20.657	20.336
0.4765	20.53	20.66	20.338
0.4775	20.53	20.664	20.342
0.4785	30.8	30.996	30.513
0.4795	10.3	10.3	10.2
0.4805	10.3	10.3	10.2
0.4815	20.54	20.671	20.348
0.4825	10.3	10.3	10.2
0.4835	30.81	31.015	30.53
0.4845	20.54	20.678	20.354
0.4855	30.82	31.023	30.536
0.4865	20.55	20.684	20.359
0.4875	10.3	10.3	10.2
0.4885	30.83	31.033	30.546
0.4895	30.83	31.036	30.548
0.4905	30.84	31.04	30.551
0.4915	20.56	20.697	20.371
0.4925	30.85	31.048	30.558
0.4935	30.85	31.054	30.563
0.4945	30.85	31.058	30.566
0.4955	10.3	10.4	10.2
0.4965	20.57	20.71	20.38
0.4975	20.58	20.713	20.383
0.4985	30.87	31.074	30.578
0.4995	20.58	20.719	20.388
0.5005	10.3	10.4	10.2
